"","2.5 %","97.5 %","Estimate"
"(Intercept)",-2.50171776270889,-1.19244276414125,-1.84708026342507
"scale(prop_activity)",0.144073155166058,1.3430484537788,0.743560804472429
"scale(log(tenure_days))",-0.0928807512706129,1.31156908416563,0.609344166447508
"scale(arrival_day)",-0.261472417710756,0.806451271386377,0.272489426837811
