"","2.5 %","97.5 %","Estimate"
"(Intercept)",-1.27792135992776,0.0355017735148766,-0.621209793206444
"scale(prop_activity)",-0.481244739341712,1.22062223513482,0.369688747896556
"scale(log(tenure_days))",-0.274873637436841,1.43131224757378,0.578219305068472
"scale(arrival_day)",-0.61050732618266,0.572623904763714,-0.0189417107094728
